classification_id,credit_id,client_id,date_classification,categorie_reglementaire,categorie_bale_ii,categorie_ifrs9,jours_retard,probabilite_defaut_pd,perte_en_cas_defaut_lgd,exposition_en_cas_defaut_ead,perte_attendue_el,provision_requise,provision_constituee,taux_provisionnement,indicateur_forborne,date_restructuration,indicateur_contentieux,date_entree_contentieux,motif_classification,observation,validateur_id,date_validation,date_prochaine_revue
CLS-000001,CRD-000001,CLI-001502,2026-03-24,Saine,C,Stage 1,0,0.0159,0.4601,6254.12,45.73,46.55,45.91,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:25.429531,2026-12-10 14:53:25.429531
CLS-000002,CRD-000002,CLI-002587,2025-04-02,Saine,C,Stage 1,0,0.0134,0.2502,7794.31,26.12,27.98,27.35,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:25.432534,2026-12-10 14:53:25.432534
CLS-000003,CRD-000003,CLI-002654,2025-10-14,Saine,C,Stage 1,0,0.018,0.5296,103360.3,984.92,1006.09,977.28,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:25.435532,2026-12-10 14:53:25.435532
CLS-000004,CRD-000004,CLI-001056,2023-04-21,Saine,B,Stage 1,0,0.0187,0.6561,9123.11,112.15,119.57,114.32,0.0,1,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:25.437534,2026-12-10 14:53:25.437534
CLS-000005,CRD-000005,CLI-000706,2024-01-29,Saine,B,Stage 1,0,0.012,0.3286,8606.0,33.97,38.0,37.26,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:25.441545,2026-12-10 14:53:25.441545
CLS-000006,CRD-000006,CLI-000107,2026-03-01,Saine,C,Stage 1,0,0.0195,0.4766,2065.89,19.17,20.56,19.61,0.0,1,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:25.443552,2026-12-10 14:53:25.443552
CLS-000007,CRD-000007,CLI-000590,2024-06-15,Saine,C,Stage 1,0,0.0053,0.5859,813924.36,2525.8,2939.17,2924.22,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:25.446545,2026-12-10 14:53:25.446545
CLS-000008,CRD-000008,CLI-002469,2026-02-27,Saine,A,Stage 1,0,0.0093,0.3895,0.0,0.0,0.0,0.0,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:25.449550,2026-12-10 14:53:25.449550
CLS-000009,CRD-000009,CLI-002414,2024-07-25,Saine,A,Stage 1,0,0.0087,0.3071,38549.81,103.58,113.47,109.58,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.451547,2026-12-10 14:53:25.451547
CLS-000010,CRD-000010,CLI-001601,2025-03-19,Saine,C,Stage 1,0,0.0054,0.3555,27109.93,52.38,53.03,52.98,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.454546,2026-12-10 14:53:25.454546
