credit_id,client_id,agence_id,compte_id,type_credit,montant_initial,montant_restant_du,taux_interet_nominal,taux_effectif_global,duree_totale_mois,duree_restante_mois,montant_mensualite,date_octroi,date_premiere_echeance,date_derniere_echeance,date_derniere_mensualite_payee,nombre_echeances_payees,nombre_echeances_impayees,jours_retard,statut_credit,garantie,valeur_garantie,objet_financement,score_risque_octroi,classification_bale,provision_constituee,date_dernier_incident,nombre_incidents_paiement,conseiller_credit_id,date_creation,date_derniere_maj
CRD-000001,CLI-001502,AG-FÈS-01,CPT-001930,Crédit équipement,9789.06,6254.12,0.0388,0.0522,36,23,288.49,2026-02-10,2026-03-12,2029-01-25,2027-03-07,13,23,0,En cours,Nantissement,6326.76,Achat immobilier,419,C,45.91,,0,CONS-002,2026-09-11 14:53:25.429531,2026-09-11 14:53:25.429531
CRD-000002,CLI-002587,AG-EL -01,CPT-003290,Crédit consommation,11691.47,7794.31,0.0454,0.0597,36,24,347.99,2024-12-25,2025-01-24,2027-12-10,2025-12-20,12,24,0,En cours,Hypothèque,6793.97,Achat immobilier,455,C,27.35,,0,CONS-048,2026-09-11 14:53:25.432534,2026-09-11 14:53:25.432534
CRD-000003,CLI-002654,AG-RAB-03,CPT-003378,Crédit immobilier,198769.8,103360.3,0.0621,0.0756,300,156,1306.31,2024-11-04,2024-12-04,2049-06-26,2036-09-02,144,156,0,En cours,Caution personnelle,180964.68,Équipement professionnel,544,C,977.28,,0,CONS-027,2026-09-11 14:53:25.435532,2026-09-11 14:53:25.435532
CRD-000004,CLI-001056,AG-LAÂ-01,CPT-001345,Crédit automobile,39809.93,9123.11,0.0705,0.0892,48,11,954.22,2023-01-05,2023-02-04,2026-12-15,2026-01-19,37,11,0,En cours,Sans garantie,0.0,Fonds de roulement,608,B,114.32,,0,CONS-028,2026-09-11 14:53:25.437534,2026-09-11 14:53:25.437534
CRD-000005,CLI-000706,AG-KHE-01,CPT-000896,Crédit professionnel,12909.0,8606.0,0.0367,0.0446,84,56,174.5,2023-06-15,2023-07-15,2030-05-09,2025-10-02,28,56,0,En cours,Hypothèque,11270.88,Travaux,676,B,37.26,,0,CONS-038,2026-09-11 14:53:25.441545,2026-09-11 14:53:25.441545
CRD-000006,CLI-000107,AG-SAF-01,CPT-000139,Crédit automobile,14166.12,2065.89,0.0761,0.0837,48,7,343.25,2025-06-04,2025-07-04,2029-05-14,2028-10-16,41,7,0,En cours,Garantie autonome,12811.51,Véhicule,535,C,19.61,,0,CONS-016,2026-09-11 14:53:25.443552,2026-09-11 14:53:25.443552
CRD-000007,CLI-000590,AG-KHE-01,CPT-000746,Crédit immobilier,980631.76,813924.36,0.0635,0.0723,300,249,6529.68,2024-04-04,2024-05-04,2048-11-24,2028-06-12,51,249,0,En cours,Sans garantie,0.0,Achat immobilier,581,C,2924.22,,0,CONS-008,2026-09-11 14:53:25.446545,2026-09-11 14:53:25.446545
CRD-000008,CLI-002469,AG-MOH-01,CPT-003141,Crédit consommation,14051.82,0.0,0.0752,0.0841,12,0,1219.23,2025-03-22,2025-04-21,2026-03-17,2026-03-17,12,0,0,En cours,Caution personnelle,12788.81,Investissement,760,A,0.0,,0,CONS-011,2026-09-11 14:53:25.449550,2026-09-11 14:53:25.449550
CRD-000009,CLI-002414,AG-TÉT-01,CPT-003070,Crédit automobile,51399.75,38549.81,0.0464,0.0579,48,36,1175.34,2024-06-05,2024-07-05,2028-05-15,2025-05-31,12,36,0,En cours,Hypothèque,49414.89,Travaux,738,A,109.58,,0,CONS-002,2026-09-11 14:53:25.451547,2026-09-11 14:53:25.451547
CRD-000010,CLI-001601,AG-KHE-01,CPT-002046,Crédit automobile,43375.89,27109.93,0.068,0.0803,48,30,1034.67,2024-05-14,2024-06-13,2028-04-23,2025-11-05,18,30,0,En cours,Nantissement,47391.28,Investissement,586,C,52.98,,0,CONS-013,2026-09-11 14:53:25.454546,2026-09-11 14:53:25.454546
CRD-000011,CLI-002465,AG-KHO-01,CPT-003137,Crédit immobilier,214402.05,51813.83,0.0558,0.0647,120,29,2335.33,2026-02-09,2026-03-11,2035-12-19,2033-08-01,91,29,0,En cours,Sans garantie,0.0,Achat immobilier,565,C,670.07,,0,CONS-040,2026-09-11 14:53:25.457545,2026-09-11 14:53:25.457545
CRD-000012,CLI-000229,AG-TAN-02,CPT-000288,Crédit immobilier,114860.33,37903.91,0.0456,0.0646,300,99,642.35,2022-10-31,2022-11-30,2047-06-22,2039-05-05,201,99,0,En cours,Garantie autonome,86927.5,Fonds de roulement,475,C,216.3,,0,CONS-025,2026-09-11 14:53:25.459550,2026-09-11 14:53:25.459550
CRD-000013,CLI-000916,AG-AGA-01,CPT-001169,Crédit investissement,45861.17,29482.18,0.056,0.0683,84,54,661.21,2024-11-29,2024-12-29,2031-10-24,2027-05-18,30,54,0,En cours,Caution personnelle,42225.51,Investissement,715,A,182.72,,0,CONS-043,2026-09-11 14:53:25.461550,2026-09-11 14:53:25.461550
