ratio_id,date_calcul,periode,agence_id,niveau_consolidation,type_ratio,lcr_actifs_liquides,lcr_sorties_nettes,lcr_ratio,lcr_conforme,nsfr_financement_stable,nsfr_financement_requis,nsfr_ratio,nsfr_conforme,depot_total,credit_total,ratio_credit_depot,tresorerie_disponible,reserve_obligatoire,ratio_reserve,top_10_deposants_pct,depot_vue,depot_terme,ratio_depot_vue,ecart_liquidite_1_mois,ecart_liquidite_3_mois,ecart_liquidite_1_an,statut_global,alerte_niveau,seuil_reglementaire_respecte,commentaire,analyste_id,date_creation
RAT-0001,2024-09-11,2024-09,,BANQUE,LCR_NSFR,8031651387.13,6357925257.51,126.33,True,10438060162.52,7725465981.93,135.11,True,14912606283.02,11166984541.23,74.88,915432363.65,36617294.55,0.2455,0.2858,5963844999.02,8948761284.0,0.3999,466732560.22,895137154.69,3354096152.06,Conforme,Vert,1,Généré automatiquement,ANA-002,2026-09-11 14:53:31.094230
RAT-0002,2024-10-11,2024-10,,BANQUE,LCR_NSFR,8259122619.31,6298131745.58,131.14,True,9305875976.84,8133505370.7,114.41,True,13717961211.18,12994249129.65,94.72,896335996.59,35853439.86,0.2614,0.2455,6426216751.97,7291744459.21,0.4685,652004593.38,1809250626.57,2419595521.96,Conforme,Vert,1,Généré automatiquement,ANA-008,2026-09-11 14:53:31.094230
RAT-0003,2024-11-10,2024-11,,BANQUE,LCR_NSFR,7255327537.15,6681691262.21,108.59,True,10098272038.43,8566786376.84,117.88,True,15769435250.45,12604083652.25,79.93,963764826.8,38550593.07,0.2445,0.3651,6224054627.3,9545380623.150002,0.3947,400501661.63,763076602.73,3267556052.26,Conforme,Vert,1,Généré automatiquement,ANA-005,2026-09-11 14:53:31.094230
RAT-0004,2024-12-10,2024-12,,BANQUE,LCR_NSFR,9174278656.07,6451296767.75,142.21,True,10006822491.91,9847483701.27,101.62,True,16072102200.9,13057152535.03,81.24,1011367721.87,40454708.87,0.2517,0.3981,4994103794.52,11077998406.38,0.3107,208766234.75,813656441.57,3420171869.92,Conforme,Vert,1,Généré automatiquement,ANA-006,2026-09-11 14:53:31.094230
RAT-0005,2025-01-09,2025-01,,BANQUE,LCR_NSFR,7546568503.07,6290107264.24,119.98,True,10605691262.87,8352180671.61,126.98,True,13491254704.86,12975282174.86,96.18,933835654.86,37353426.19,0.2769,0.1856,5099135415.1,8392119289.76,0.378,597473193.25,1421156905.51,3731037115.44,Conforme,Vert,1,Généré automatiquement,ANA-004,2026-09-11 14:53:31.095242
RAT-0006,2025-02-08,2025-02,,BANQUE,LCR_NSFR,7571985772.22,6458290620.16,117.24,True,9469481076.84,9911270745.34,95.54,False,14568316345.06,12356765468.57,84.82,845104865.55,33804194.62,0.232,0.2258,6886860799.04,7681455546.0199995,0.4727,996665424.2,1082112789.8,3582773731.66,Surveillance,Orange,0,Généré automatiquement,ANA-006,2026-09-11 14:53:31.095242
RAT-0007,2025-03-10,2025-03,,BANQUE,LCR_NSFR,7992356704.03,5825637654.2,137.19,True,9445974903.7,9236253750.3,102.27,True,13167580518.3,10642406899.0,80.82,990853552.14,39634142.09,0.301,0.1957,5429091458.38,7738489059.919999,0.4123,457611551.24,636772844.91,2744983367.75,Conforme,Vert,1,Généré automatiquement,ANA-005,2026-09-11 14:53:31.095242
RAT-0008,2025-04-09,2025-04,,BANQUE,LCR_NSFR,8301985675.02,6701321560.58,123.89,True,10400803059.37,8913432854.54,116.69,True,12999517883.72,12789135710.77,98.38,784779676.27,31391187.05,0.2415,0.236,5910547783.59,7088970100.129999,0.4547,510840317.43,655997546.44,2584647318.3,Conforme,Vert,1,Généré automatiquement,ANA-010,2026-09-11 14:53:31.095242
RAT-0009,2025-05-09,2025-05,,BANQUE,LCR_NSFR,8013895754.25,6595488034.61,121.51,True,9719319382.43,9934677352.27,97.83,False,14872974279.26,11889350778.96,79.94,1012367902.09,40494716.08,0.2723,0.2973,4753095877.33,10119878401.93,0.3196,774419034.4,1750928964.48,2956189060.81,Surveillance,Orange,0,Généré automatiquement,ANA-006,2026-09-11 14:53:31.095242
RAT-0010,2025-06-08,2025-06,,BANQUE,LCR_NSFR,7927281630.42,6151447966.85,128.87,True,9549962792.8,9076725444.21,105.21,True,14496320651.25,12345661585.97,85.16,923081556.74,36923262.27,0.2547,0.2945,5551712469.85,8944608181.4,0.383,-43383149.78,1482193663.78,2771593332.3,Conforme,Vert,1,Généré automatiquement,ANA-008,2026-09-11 14:53:31.095242
RAT-0011,2025-07-08,2025-07,,BANQUE,LCR_NSFR,6969675568.28,7096417046.55,98.21,False,9199367063.34,9047214895.19,101.68,True,16184009399.36,11627959650.39,71.85,801006343.38,32040253.74,0.198,0.3827,6680423281.3,9503586118.060001,0.4128,75719124.48,881106116.12,2234812298.8,Surveillance,Orange,0,Généré automatiquement,ANA-007,2026-09-11 14:53:31.095242
RAT-0012,2025-08-07,2025-08,,BANQUE,LCR_NSFR,7187175084.89,6681019499.19,107.58,True,10147013796.61,8567154034.77,118.44,True,14156174610.46,11536551453.14,81.49,1093552029.95,43742081.2,0.309,0.2139,5227071566.39,8929103044.07,0.3692,1008812923.77,1456182117.07,3022256059.31,Conforme,Vert,1,Généré automatiquement,ANA-003,2026-09-11 14:53:31.095242
RAT-0013,2025-09-06,2025-09,,BANQUE,LCR_NSFR,7931082553.94,6704951348.68,118.29,True,10521283203.01,9476986438.52,111.02,True,14218338126.47,12661456381.89,89.05,848510914.4,33940436.58,0.2387,0.3737,5381383970.34,8836954156.13,0.3785,470404452.14,1027615226.7,2668572816.97,Conforme,Vert,1,Généré automatiquement,ANA-002,2026-09-11 14:53:31.095242
RAT-0014,2025-10-06,2025-10,,BANQUE,LCR_NSFR,8408104482.22,6999299054.24,120.13,True,10133111235.89,8956896151.52,113.13,True,14530756922.68,10942344783.19,75.3,878965633.49,35158625.34,0.242,0.3184,5955831712.3,8574925210.38,0.4099,-162816611.91,1664910471.5,3071048242.95,Conforme,Vert,1,Généré automatiquement,ANA-007,2026-09-11 14:53:31.095242
RAT-0015,2025-11-05,2025-11,,BANQUE,LCR_NSFR,7970720543.8,6672912291.89,119.45,True,10945275111.39,9023660489.51,121.3,True,15789527791.47,12942115767.17,81.97,590476454.59,23619058.18,0.1496,0.1584,5949456916.56,9840070874.91,0.3768,1020733779.31,1842100901.39,3207080392.05,Conforme,Vert,1,Généré automatiquement,ANA-002,2026-09-11 14:53:31.095242
RAT-0016,2025-12-05,2025-12,,BANQUE,LCR_NSFR,7855799465.79,6481958061.38,121.19,True,9906288745.82,9565938259.6,103.56,True,14528808880.4,12002065703.05,82.61,992824163.96,39712966.56,0.2733,0.2618,6670318992.56,7858489887.839999,0.4591,548718941.19,1046014418.96,4172913952.52,Conforme,Vert,1,Généré automatiquement,ANA-004,2026-09-11 14:53:31.095242
RAT-0017,2026-01-04,2026-01,,BANQUE,LCR_NSFR,8366394637.18,6420093697.9,130.32,True,9466087109.23,7967650779.43,118.81,True,15925465139.91,12327938058.48,77.41,1114323506.5,44572940.26,0.2799,0.2695,6118777894.6,9806687245.31,0.3842,636248222.33,1747802710.94,2426987420.12,Conforme,Vert,1,Généré automatiquement,ANA-002,2026-09-11 14:53:31.095242
RAT-0018,2026-02-03,2026-02,,BANQUE,LCR_NSFR,8530398611.1,6754215703.88,126.3,True,9446584597.1,9201830539.68,102.66,True,15256770689.12,10559128485.46,69.21,1201324634.32,48052985.37,0.315,0.2752,6170045505.7,9086725183.420002,0.4044,603972839.73,1053417369.6,2858221132.9,Conforme,Vert,1,Généré automatiquement,ANA-010,2026-09-11 14:53:31.095242
RAT-0019,2026-03-05,2026-03,,BANQUE,LCR_NSFR,9249953710.85,6559654277.86,141.01,True,10018397426.29,9058488114.94,110.6,True,13885610812.7,11701537947.56,84.27,1092682365.18,43707294.61,0.3148,0.286,5976233935.88,7909376876.820001,0.4304,505780922.78,1016005575.92,3180128809.24,Conforme,Vert,1,Généré automatiquement,ANA-010,2026-09-11 14:53:31.095242
RAT-0020,2026-04-04,2026-04,,BANQUE,LCR_NSFR,8435302842.24,6659408416.64,126.67,True,9968812260.01,9018623109.12,110.54,True,13715764235.1,10982220873.4,80.07,1158889922.61,46355596.9,0.338,0.3404,6800139813.57,6915624421.530001,0.4958,848607072.9,1289529929.72,4496123310.63,Conforme,Vert,1,Généré automatiquement,ANA-005,2026-09-11 14:53:31.095242
RAT-0021,2026-05-04,2026-05,,BANQUE,LCR_NSFR,8274710221.84,6494492495.43,127.41,True,10919229313.24,8419530388.6,129.69,True,13518969093.12,12276749789.05,90.81,936058687.33,37442347.49,0.277,0.3842,5074094820.97,8444874272.150001,0.3753,537850260.22,909702234.9,3954842576.56,Conforme,Vert,1,Généré automatiquement,ANA-005,2026-09-11 14:53:31.095242
RAT-0022,2026-06-03,2026-06,,BANQUE,LCR_NSFR,8273053225.91,6454652035.66,128.17,True,10974344945.05,8971948127.48,122.32,True,15507512943.3,13660615518.38,88.09,1151557311.28,46062292.45,0.297,0.2517,6101847101.26,9405665842.039999,0.3935,915037704.66,1079285505.14,3801558231.49,Conforme,Vert,1,Généré automatiquement,ANA-001,2026-09-11 14:53:31.095242
RAT-0023,2026-07-03,2026-07,,BANQUE,LCR_NSFR,7970209298.76,7085279402.63,112.49,True,11058850412.02,9672276227.64,114.34,True,14926617009.36,12240818115.64,82.01,1369549041.3,54781961.65,0.367,0.3254,6621212543.46,8305404465.900001,0.4436,493230208.64,1486422302.99,2412202008.54,Conforme,Vert,1,Généré automatiquement,ANA-010,2026-09-11 14:53:31.095242
RAT-0024,2026-08-02,2026-08,,BANQUE,LCR_NSFR,7861789740.22,6126104192.03,128.33,True,9355688063.22,9717018303.12,96.28,False,17062715444.65,12192780010.94,71.46,889081929.19,35563277.17,0.2084,0.1776,6002942360.08,11059773084.57,0.3518,275485692.61,1826628635.2,3016054724.71,Surveillance,Orange,0,Généré automatiquement,ANA-006,2026-09-11 14:53:31.096245
